ISIN,Company,LEVEL2 SECTOR NAME,LEVEL3 SECTOR NAME,LEVEL4 SECTOR NAME,LEVEL5 SECTOR NAME,GEOGRAPHIC DESCR.,TotalValue,EV,SUPPLIERCOSTS
US1264081035,CSX,Industrials,Ind. Goods & Services,Ind. Transportation,Railroads,UNITED STATES,"42,764,000,000","87,085,440,000","8,518,409,990"
US1270971039,COTERRA ENERGY,Energy,Energy,"Oil, Gas and Coal",Oil: Crude Producers,UNITED STATES,"21,625,000,000","23,774,000,000","4,117,989,981"
CA5592224011,MAGNA INTL.,Consumer Discretion,Automobiles & Parts,Automobiles & Parts,Auto Parts,CANADA,"30,215,826,000","17,036,000,000","31,589,407,456"
US8326964058,J M SMUCKER,Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,UNITED STATES,"17,563,300,000","18,173,540,000","6,606,698,090"
US8425871071,SOUTHERN,Utilities,Utilities,Electricity,Conv. Electricity,UNITED STATES,"145,180,000,000","124,060,100,000","16,658,409,963"
US78409V1044,S&P GLOBAL,Financials,Financial Services,Finance & Credit Svs,Fin. Data Providers,UNITED STATES,"60,221,000,000","173,134,400,000","4,325,528,259"
US5732841060,MARTIN MRTA.MATS.,Industrials,Construction & Mats,Construction & Mats,Bldg Materials: Other,UNITED STATES,"18,170,000,000","42,107,230,000","4,882,176,983"
US2371941053,DARDEN RESTAURANTS,Consumer Discretion,Travel & Leisure,Travel & Leisure,Restaurants & Bars,UNITED STATES,"12,587,000,000","22,674,800,000","6,891,551,676"
CA05534B7604,BCE,Telecommunications,Telecommunications,Telecom. Svs. Prvds.,Telecom. Services,CANADA,"51,000,604,000","52,415,341,340","8,483,119,539"
US8636671013,STRYKER,Health Care,Health Care,Medical Eq. Services,Medical Equipment,UNITED STATES,"41,229,000,000","161,474,400,000","10,468,254,675"
US0320951017,AMPHENOL 'A',Technology,Technology,"Tech. Hardware, Equip",Electronic Components,UNITED STATES,"21,311,500,000","159,364,200,000","10,903,257,567"
US3030751057,FACTSET RESEARCH SYS.,Financials,Financial Services,Finance & Credit Svs,Fin. Data Providers,UNITED STATES,"4,243,046,000",NA,"706,840,272"
US0010551028,AFLAC,Financials,Insurance,Life Insurance,Life Insurance,UNITED STATES,"117,566,000,000",NA,"13,468,841,462"
CA15101Q2071,CELESTICA SBVTG.SHS.,Technology,Technology,"Tech. Hardware, Equip",Electronic Components,CANADA,"5,899,685,000","37,917,250,000","6,594,202,106"
US25746U1097,DOMINION ENERGY,Utilities,Utilities,Electricity,Conv. Electricity,UNITED STATES,"102,415,000,000","98,867,180,000","9,013,020,119"
HK0006000050,POWER ASSETS HOLDINGS,Utilities,Utilities,Electricity,Conv. Electricity,HONG KONG,"12,110,955,000","8,692,981,150","73,746,689"
FR0000131104,BNP PARIBAS,Financials,Banks,Banks,Banks,FRANCE,"2,797,390,920,000",NA,"69,560,630,521"
CH0012221716,ABB LTD N,Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Electrical Components,SWITZERLAND,"39,047,859,000","130,513,800,000","23,069,081,733"
FR0000120628,AXA,Financials,Insurance,Non-life Insurance,Full Line Insurance,FRANCE,"673,484,179,000",NA,"61,085,178,946"
JP3188200004,OTSUKA,Technology,Technology,Software & Comp. Svs.,Computer Services,JAPAN,"4,210,091,000","5,076,776,930","2,958,535,454"
AU000000ALL7,ARISTOCRAT LEISURE,Consumer Discretion,Travel & Leisure,Travel & Leisure,Casinos & Gambling,AUSTRALIA,"6,117,486,000","24,068,519,790","2,614,251,840"
GB0006731235,ASSOCIATED BRIT.FOODS,Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,UNITED KINGDOM,"25,843,857,000","22,393,472,430","19,975,443,780"
GB0030913577,BT GROUP,Telecommunications,Telecommunications,Telecom. Svs. Prvds.,Telecom. Services,UNITED KINGDOM,"64,567,187,000","53,063,420,460","13,141,884,740"
JP3142500002,IDEMITSU KOSAN,Energy,Energy,"Oil, Gas and Coal",Oil Refining & Mkting,JAPAN,"31,828,533,000","17,179,962,320","46,342,746,991"
GB0000811801,BARRATT REDROW,Consumer Discretion,Consumer Prod & Svs,Hhold Gds & Home Con.,Home Construction,UNITED KINGDOM,"15,841,128,000","7,432,632,110","6,315,802,591"
US0079031078,ADVANCED MICRO DEVICES,Technology,Technology,"Tech. Hardware, Equip",Semiconductors,UNITED STATES,"68,538,000,000","359,088,600,000","18,468,504,034"
US22160K1051,COSTCO WHOLESALE,Consumer Discretion,Retailers,Retailers,Diversified Retailers,UNITED STATES,"76,507,000,000","391,291,400,000","207,665,510,649"
JP3538800008,TDK,Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Electrical Components,JAPAN,"23,316,592,000","21,794,006,400","10,559,148,757"
GB00BTK05J60,ANGLO AMERICAN,Basic Materials,Basic Resources,Ind. Metals & Mining,General Mining,UNITED KINGDOM,"64,615,108,000","60,915,600,000","20,580,533,969"
JP3898400001,MITSUBISHI,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,JAPAN,"143,486,572,000","61,824,393,960","89,256,957,718"
JP3634600005,TOYOTA INDS.,Consumer Discretion,Automobiles & Parts,Automobiles & Parts,Auto Parts,JAPAN,"62,499,424,000","39,787,178,010","21,106,441,396"
DE000BAY0017,BAYER,Health Care,Health Care,Pharm. & Biotech,Pharmaceuticals,GERMANY,"108,400,712,000","70,269,128,270","26,508,779,597"
GB00B0744B38,BUNZL,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,UNITED KINGDOM,"11,916,711,000","12,964,803,630","10,573,808,412"
FI0009000681,NOKIA,Telecommunications,Telecommunications,Telecom. Equipment,Telecom. Equipment,FINLAND,"36,811,468,000","29,255,260,190","14,998,021,798"
FI0009005961,STORA ENSO R,Basic Materials,Basic Resources,Industrial Materials,Paper,FINLAND,"20,292,386,000","12,189,366,970","7,089,038,210"
TW0002353000,ACER,Technology,Technology,"Tech. Hardware, Equip",Computer Hardware,TAIWAN,"6,555,710,000","2,069,544,040","5,782,573,489"
US5404241086,LOEWS,Financials,Insurance,Non-life Insurance,Prop. & Casualty Ins.,UNITED STATES,"81,943,000,000",NA,"11,854,707,121"
US0152711091,ALEXANDRIA REAL ESTATE EQUITIES REIT,Real Estate,Real Estate,REITs,Health Care REITs,UNITED STATES,"37,527,449,000","24,087,840,000","1,152,716,727"
HK0285041858,BYD ELECTRONIC (INTL.),Telecommunications,Telecommunications,Telecom. Equipment,Telecom. Equipment,HONG KONG,"12,268,838,000","6,365,501,770","18,658,468,149"
INE006I01046,ASTRAL,Industrials,Construction & Mats,Construction & Mats,Building & Plumbing,INDIA,"590,576,000","4,633,975,570","509,708,689"
FR0000125338,CAPGEMINI,Technology,Technology,Software & Comp. Svs.,Computer Services,FRANCE,"25,970,982,000","29,274,398,280","9,604,315,450"
FR0000120172,CARREFOUR,Consumer Staples,Drug & Grocery Stores,Drug & Grocery Stores,Food Retail & Wsale,FRANCE,"58,812,403,000","22,397,581,940","72,397,483,495"
INE296A01032,BAJAJ FINANCE,Financials,Financial Services,Finance & Credit Svs,Consumer Lending,INDIA,"54,401,772,000","100,727,218,440","2,482,045,533"
SE0015961909,HEXAGON B,Technology,Technology,Software & Comp. Svs.,Software,SWEDEN,"18,345,359,000","33,674,393,130","2,346,946,644"
CNE100000866,CHINA RAILWAY GROUP 'A',Industrials,Construction & Mats,Construction & Mats,Eng. & Contract Svs,CHINA,"307,024,046,000","100,950,155,300","118,739,914,180"
US0605051046,BANK OF AMERICA,Financials,Banks,Banks,Banks,UNITED STATES,"3,247,470,000,000",NA,"113,765,978,646"
INE169A01031,COROMANDEL INTERNATIONAL,Basic Materials,Chemicals,Chemicals,Fertilizers,INDIA,"2,213,261,000",NA,"2,091,164,985"
JP3486800000,DAITO TST.CONSTRUCTION,Real Estate,Real Estate,Real Estate Inv & Svs,"Real Estate Hold, Dev",JAPAN,"7,413,185,000","6,057,314,920","9,408,771,153"
US1729081059,CINTAS,Industrials,Ind. Goods & Services,Ind. Support Services,Industrial Suppliers,UNITED STATES,"9,825,241,000","79,672,000,000","6,545,733,117"
US3156161024,F5,Technology,Technology,Software & Comp. Svs.,Computer Services,UNITED STATES,"5,247,053,000","14,709,280,000","1,182,116,763"
US09062X1037,BIOGEN,Health Care,Health Care,Pharm. & Biotech,Biotechnology,UNITED STATES,"27,725,100,000","24,005,650,000","5,314,907,981"
TH0264A10Z04,BANGKOK DUSIT MED.SVS.,Health Care,Health Care,Health Care Providers,Health Care Facility,THAILAND,"4,434,012,000","10,179,515,750","1,320,337,170"
US45337C1027,INCYTE,Health Care,Health Care,Pharm. & Biotech,Biotechnology,UNITED STATES,"4,682,251,000","12,758,790,000","2,329,672,494"
JP3951600000,UNI CHARM,Consumer Staples,Drug & Grocery Stores,Drug & Grocery Stores,Personal Products,JAPAN,"7,786,395,000","9,497,546,680","5,041,512,256"
JP3343200006,SANRIO,Consumer Discretion,Consumer Prod & Svs,Leisure Goods,Toys,JAPAN,"1,336,023,000","8,500,299,520","675,684,305"
JP3955000009,YOKOGAWA ELECTRIC,Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Elec. Eq: Gauges,JAPAN,"4,732,766,000","3,826,722,097,410","2,693,437,975"
JP3236200006,KEYENCE,Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Elec. Eq: Gauges,JAPAN,"21,975,115,000","78,218,950,860","5,095,405,586"
CNE1000000R4,CHINA CITIC BANK 'A',Financials,Banks,Banks,Banks,CHINA,"1,298,567,933,000","65,373,610,830","30,449,118,440"
CNE000001LJ2,HUADIAN POWER INTL.'A',Utilities,Utilities,Electricity,Conv. Electricity,CHINA,"30,886,374,000","26,218,441,520","9,598,138,977"
CNE000000J28,DONGFANG ELECTRIC 'A',Energy,Energy,Alternative Energy,Renewable Energy Eq.,CHINA,"19,000,366,000","6,438,235,590","7,620,857,833"
KYG2108Y1052,CHINA RESOURCES LAND,Real Estate,Real Estate,Real Estate Inv & Svs,"Real Estate Hold, Dev",HONG KONG,"153,907,051,000","51,780,838,710","29,732,063,988"
US1011371077,BOSTON SCIENTIFIC,Health Care,Health Care,Medical Eq. Services,Medical Equipment,UNITED STATES,"35,740,000,000","172,726,300,000","7,758,878,559"
CA0641491075,BK.OF NOVA SCOTIA,Financials,Banks,Banks,Banks,CANADA,"1,010,847,379,000",NA,"31,554,438,288"
US2058871029,CONAGRA BRANDS,Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,UNITED STATES,"20,933,900,000","15,423,660,000","8,792,274,164"
CZ0008019106,KOMERCNI BANKA,Financials,Banks,Banks,Banks,CZECH REPUBLIC,"63,168,476,000",NA,"3,072,229,154"
US46120E6023,INTUITIVE SURGICAL,Health Care,Health Care,Medical Eq. Services,Medical Equipment,UNITED STATES,"17,698,100,000","196,852,600,000","3,869,524,668"
CNE100000D55,SHANGHAI ELECTRIC GP.'A',Industrials,Ind. Goods & Services,Ind. Engineering,Machinery: Industrial,CHINA,"40,252,650,000","17,885,379,110","10,691,931,975"
US4262811015,JACK HENRY AND ASSOCIATES,Industrials,Ind. Goods & Services,Ind. Support Services,Transaction Process,UNITED STATES,"3,043,970,000","13,031,820,000","1,503,648,855"
CNE100000759,CHINA OILFIELD SVS.'A',Energy,Energy,"Oil, Gas and Coal",Oil Equipment & Svs,CHINA,"11,359,927,000","9,040,937,790","4,981,315,534"
JP3419400001,SEKISUI CHEMICAL,Consumer Discretion,Consumer Prod & Svs,Hhold Gds & Home Con.,Home Construction,JAPAN,"8,866,729,000","7,649,953,780","7,163,907,439"
CNE1000002N9,CHINA NATIONAL BUILDING MATERIAL 'H',Industrials,Construction & Mats,Construction & Mats,Cement,CHINA,"66,500,379,000","34,915,580,910","18,553,327,254"
JP3223800008,KAWASAKI KISEN KAISHA,Industrials,Ind. Goods & Services,Ind. Transportation,Marine Transportation,JAPAN,"14,753,340,000","9,504,646,410","4,105,581,856"
JP3496400007,KDDI,Telecommunications,Telecommunications,Telecom. Svs. Prvds.,Telecom. Services,JAPAN,"112,686,298,000","91,695,768,990","19,780,556,912"
CA3359341052,FIRST QUANTUM MRLS.,Basic Materials,Basic Resources,Ind. Metals & Mining,Copper,CANADA,"24,053,677,000","21,570,980,000","3,517,700,845"
INE094A01015,HINDUSTAN PETROLEUM,Energy,Energy,"Oil, Gas and Coal",Oil Refining & Mkting,INDIA,"22,784,475,000","16,804,061,850","38,298,572,159"
INE158A01026,HERO MOTOCORP,Consumer Discretion,Consumer Prod & Svs,Leisure Goods,Recreational Vehicles,INDIA,"3,321,573,000","3,852,810,800","3,338,615,339"
HK0388045442,HONG KONG EXCHANGES AND CLEARING,Financials,Financial Services,Inv. Banking & Broker,Investment Services,HONG KONG,"49,127,659,000",NA,"576,337,377"
BMG677491539,ORIENT OVERSEAS (INTL.),Industrials,Ind. Goods & Services,Ind. Transportation,Marine Transportation,HONG KONG,"17,731,999,000","2,742,813,000","6,297,460,727"
HK0392044647,BEIJING ENTERPRISES HOLDINGS,Utilities,Utilities,"Gas, Water & Mul Util",Gas Distribution,HONG KONG,"28,469,887,000","8,615,504,540","8,204,182,208"
JP3205800000,KAO,Consumer Staples,Drug & Grocery Stores,Drug & Grocery Stores,Personal Products,JAPAN,"11,569,056,000","17,965,042,850","8,301,313,554"
FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,Basic Materials,Chemicals,Chemicals,Specialty Chemicals,FRANCE,"53,361,096,000","130,359,339,800","20,792,169,889"
CNE000000TR0,CHINA EASTERN AIRL. 'A',Consumer Discretion,Travel & Leisure,Travel & Leisure,Airlines,CHINA,"36,946,458,000","38,022,538,950","10,328,997,187"
TRAAKBNK91N6,AKBANK,Financials,Banks,Banks,Banks,TURKEY,"74,988,130,000",NA,"10,001,332,054"
CA3495531079,FORTIS,Utilities,Utilities,Electricity,Conv. Electricity,CANADA,"51,095,862,000","53,535,485,480","4,987,846,101"
IT0000066123,BPER BANCA,Financials,Banks,Banks,Banks,ITALY,"144,146,943,000",NA,"4,563,613,921"
AU000000SIG5,SIGMA HEALTHCARE,Consumer Staples,Drug & Grocery Stores,Drug & Grocery Stores,Drug Retailers,AUSTRALIA,"5,412,633,000","23,476,596,930","3,151,128,223"
CNE000001998,HUANENG POWER INTL.'A',Utilities,Utilities,Electricity,Conv. Electricity,CHINA,"81,161,836,000","73,456,739,030","20,798,270,438"
CZ0005112300,CEZ,Utilities,Utilities,Electricity,Conv. Electricity,CZECH REPUBLIC,"37,032,450,000","47,463,208,790","8,725,776,620"
HK0992009065,LENOVO GROUP,Technology,Technology,"Tech. Hardware, Equip",Computer Hardware,HONG KONG,"41,174,892,000","15,488,450,000","49,553,491,737"
US15189T1079,CENTERPOINT EN.,Utilities,Utilities,"Gas, Water & Mul Util",Multi-Utilities,UNITED STATES,"43,768,000,000","49,124,800,000","6,040,497,419"
AU000000WES1,WESFARMERS,Consumer Discretion,Retailers,Retailers,Diversified Retailers,AUSTRALIA,"17,923,566,000","64,850,650,440","22,596,646,809"
TW0002379005,REALTEK SEMICON.,Technology,Technology,"Tech. Hardware, Equip",Semiconductors,TAIWAN,"3,460,770,000","6,658,678,570","2,477,336,553"
US6174464486,MORGAN STANLEY,Financials,Financial Services,Inv. Banking & Broker,Investment Services,UNITED STATES,"1,215,071,000,000",NA,"27,467,767,880"
AU000000WBC1,WESTPAC BANKING,Financials,Banks,Banks,Banks,AUSTRALIA,"745,832,971,000","96,443,285,270","22,482,384,897"
NZXROE0001S2,XERO,Technology,Technology,Software & Comp. Svs.,Software,NEW ZEALAND,"2,519,984,000","13,400,669,220","499,878,918"
US2358511028,DANAHER,Health Care,Health Care,Medical Eq. Services,Medical Equipment,UNITED STATES,"77,542,000,000","149,357,600,000","11,061,278,175"
GB0002374006,DIAGEO,Consumer Staples,"Food, Bev. and Tobacc",Beverages,Distillers & Vintners,UNITED KINGDOM,"49,054,715,000","72,593,630,000","13,067,328,048"
CNE000001G38,NARI TECHNOLOGY 'A',Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Elec. Eq: Gauges,CHINA,"12,521,362,000","24,459,958,230","5,633,512,654"
US35671D8570,FREEPORT-MCMORAN,Basic Materials,Basic Resources,Ind. Metals & Mining,Copper,UNITED STATES,"54,848,000,000","77,727,740,000","19,537,068,759"
US3379321074,FIRSTENERGY,Utilities,Utilities,Electricity,Conv. Electricity,UNITED STATES,"52,044,000,000","54,001,470,000","8,397,773,500"
IL0006046119,LEUMI LTD.,Financials,Banks,Banks,Banks,ISRAEL,"213,960,918,000",NA,"6,887,935,373"
CNE000001DN1,HANGZHOU SILAN MICROELS. 'A',Technology,Technology,"Tech. Hardware, Equip",Semiconductors,CHINA,"3,375,557,000","7,292,908,140","1,101,062,343"
GRS014003032,PIRAEUS FINANCIAL HOLDINGS,Financials,Banks,Banks,Banks,GREECE,"77,331,005,000",NA,"2,305,355,325"
BRMOTVACNOR7,MOTIVA INFU.DE MOBILIDADE ON,Industrials,Ind. Goods & Services,Ind. Transportation,Transport Services,BRAZIL,"9,335,958,000","13,177,914,090","2,065,806,403"
AU000000COH5,COCHLEAR,Health Care,Health Care,Medical Eq. Services,Medical Equipment,AUSTRALIA,"1,740,781,000","12,223,829,820","715,265,565"
ID1000057003,INDOFOOD SUKSES MAKMUR,Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,INDONESIA,"12,487,546,000","7,291,698,180","5,446,672,566"
CNE000001PQ8,CHINA MRCH.EN.SHIP. 'A',Industrials,Ind. Goods & Services,Ind. Transportation,Marine Transportation,CHINA,"9,670,971,000","12,886,893,270","2,070,725,872"
CNE000000TL3,CHONGQING BREW.'A',Consumer Staples,"Food, Bev. and Tobacc",Beverages,Brewers,CHINA,"1,406,289,000","3,675,799,300","1,168,646,961"
CA21037X1006,CONSTELLATION SOFTWARE,Technology,Technology,Software & Comp. Svs.,Software,CANADA,"12,642,253,000","53,029,520,000","4,032,891,921"
FR0000045072,CREDIT AGRICOLE,Financials,Banks,Banks,Banks,FRANCE,"2,388,634,520,000",NA,"63,007,839,097"
IE0001827041,CRH PUBLIC LIMITED,Industrials,Construction & Mats,Construction & Mats,Cement,IRELAND,"50,627,063,000","80,397,940,000","25,503,800,869"
JP3502200003,DAIWA SECURITIES GROUP,Financials,Financial Services,Inv. Banking & Broker,Investment Services,JAPAN,"240,848,259,000",NA,"2,364,206,187"
CNE0000006Y9,DONG-E-E-JIAO 'A',Health Care,Health Care,Pharm. & Biotech,Pharmaceuticals,CHINA,"1,750,213,000","3,443,430,550","445,367,636"
CNE000000XL5,SHENGYI TECHNOLOGY 'A',Technology,Technology,"Tech. Hardware, Equip",Electronic Components,CHINA,"3,743,915,000","17,351,193,280","2,000,631,409"
KR7006800007,MIRAE ASSET SECURITIES,Financials,Financial Services,Inv. Banking & Broker,Investment Services,SOUTH KOREA,"92,770,228,000",NA,"1,451,662,962"
NL0000235190,AIRBUS,Industrials,Ind. Goods & Services,Aerospace & Defense,Aerospace,FRANCE,"130,168,663,000","169,395,295,870","43,432,367,985"
MX01AC100006,ARCA CONTINENTAL,Consumer Staples,"Food, Bev. and Tobacc",Beverages,Soft Drinks,MEXICO,"13,868,686,000","19,891,022,790","7,051,580,036"
GRS323003012,EUROBANK HOLDINGS,Financials,Banks,Banks,Banks,GREECE,"100,825,108,000",NA,"3,570,143,285"
FR0000121667,ESSILORLUXOTTICA,Health Care,Health Care,Medical Eq. Services,Medical Supplies,FRANCE,"66,139,490,000","166,634,171,590","12,716,933,999"
SE0000108847,LUNDBERGFORETAGEN B,Financials,Financial Services,Inv. Banking & Broker,Div. Fin. Services,SWEDEN,"20,308,499,000",NA,"680,704,066"
AED000201015,DUBAI ISLAMIC BANK,Financials,Banks,Banks,Banks,UNITED ARAB EMIRATES,"93,807,098,000",NA,"3,451,161,374"
BMG4587L1090,HONG KONG LAND HDG.,Real Estate,Real Estate,Real Estate Inv & Svs,"Real Estate Hold, Dev",SINGAPORE,"39,000,278,000","13,608,500,000","1,517,460,936"
FR0000064578,COVIVIO,Real Estate,Real Estate,REITs,Office REITs,FRANCE,"25,701,446,000","15,740,106,890","461,842,161"
FR0010040865,GECINA,Real Estate,Real Estate,REITs,Office REITs,FRANCE,"18,552,851,000","15,138,729,660","246,495,981"
BRGGBRACNOR1,GERDAU ON,Basic Materials,Basic Resources,Ind. Metals & Mining,Iron & Steel,BRAZIL,"13,659,563,000","7,384,289,970","8,327,140,793"
KR7086280005,HYUNDAI GLOVIS,Industrials,Ind. Goods & Services,Ind. Transportation,Delivery Services,SOUTH KOREA,"11,435,934,000","7,170,943,770","11,305,067,211"
MX01GA000004,GRUPO AEROPORTUARIO DEL PACIFICO,Industrials,Ind. Goods & Services,Ind. Transportation,Transport Services,MEXICO,"3,536,056,000","12,913,847,630","947,124,746"
CA56501R1064,MANULIFE FINANCIAL,Financials,Insurance,Life Insurance,Life Insurance,CANADA,"676,494,860,000",NA,"17,791,024,497"
TH0661010007,HOME PRODUCT CENTER,Consumer Discretion,Retailers,Retailers,Home Imprv. Retailers,THAILAND,"2,024,490,000","3,408,967,890","1,544,773,812"
CNE000001CW4,JIANGSU ZHONGTIAN TECHS. 'A',Telecommunications,Telecommunications,Telecom. Equipment,Telecom. Equipment,CHINA,"7,840,686,000","6,673,545,060","4,960,116,819"
KR7042700005,HANMI SEMICONDUCTOR,Technology,Technology,"Tech. Hardware, Equip",Prod. Tech. Equipment,SOUTH KOREA,"482,877,000","9,454,824,480","271,931,442"
CNE000000CG9,HAIER SMART HOME 'A',Consumer Discretion,Consumer Prod & Svs,Hhold Gds & Home Con.,Household Appliance,CHINA,"39,406,294,000","26,056,255,710","32,341,331,418"
CNE000001QZ7,INDUSTRIAL BANK 'A',Financials,Banks,Banks,Banks,CHINA,"1,430,368,457,000",NA,"33,216,815,589"
AU000000IAG3,INSURANCE AUS.GROUP,Financials,Insurance,Non-life Insurance,Prop. & Casualty Ins.,AUSTRALIA,"17,106,356,000",NA,"6,872,565,183"
ES0144580Y14,IBERDROLA,Utilities,Utilities,Electricity,Conv. Electricity,SPAIN,"161,027,131,000","198,546,337,100","28,877,652,255"
PTJMT0AE0001,JERONIMO MARTINS,Consumer Staples,Drug & Grocery Stores,Drug & Grocery Stores,Food Retail & Wsale,PORTUGAL,"15,585,075,000","19,441,664,920","27,761,078,919"
US59522J1034,MID-AMER.APT COMMUNITIES,Real Estate,Real Estate,REITs,Residential REITs,UNITED STATES,"11,812,369,000","21,055,060,000","769,873,359"
IT0005239360,UNICREDIT,Financials,Banks,Banks,Banks,ITALY,"801,895,625,000",NA,"29,473,426,697"
NL0011821202,ING GROEP,Financials,Banks,Banks,Banks,NETHERLANDS,"1,055,651,413,000",NA,"39,667,392,174"
KR7051910008,LG CHEM,Industrials,Ind. Goods & Services,Elec. & Electrical Eq,Electrical Components,SOUTH KOREA,"61,809,031,000","43,012,185,910","23,796,647,223"
AU000000STO6,SANTOS,Energy,Energy,"Oil, Gas and Coal",Oil: Crude Producers,AUSTRALIA,"28,631,256,000","23,970,380,000","3,919,066,407"
US9026531049,UDR,Real Estate,Real Estate,REITs,Residential REITs,UNITED STATES,"10,897,586,000","19,121,010,000","581,591,815"
IE0004906560,KERRY GROUP 'A',Consumer Staples,"Food, Bev. and Tobacc",Food Producers,Food Products,IRELAND,"12,859,887,000","17,122,579,350","5,432,310,772"
FR0000121964,KLEPIERRE REIT,Real Estate,Real Estate,REITs,Retail REITs,FRANCE,"21,698,470,000","21,973,310,990","534,249,096"
INE101A01026,MAHINDRA & MAHINDRA,Consumer Discretion,Automobiles & Parts,Automobiles & Parts,Automobiles,INDIA,"32,292,621,000","40,926,905,870","14,352,237,549"
FR001400AJ45,MICHELIN,Consumer Discretion,Automobiles & Parts,Automobiles & Parts,Tires,FRANCE,"37,558,052,000","26,912,646,860","21,756,187,279"
US30231G1022,EXXON MOBIL,Energy,Energy,"Oil, Gas and Coal",Integrated Oil & Gas,UNITED STATES,"453,475,000,000","541,573,600,000","255,816,837,053"
INE423A01024,ADANI ENTERPRISES,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,INDIA,"23,146,959,000",NA,"8,211,240,110"
NO0005052605,NORSK HYDRO,Basic Materials,Basic Resources,Ind. Metals & Mining,Aluminum,NORWAY,"17,886,095,000","14,676,240,190","13,761,482,961"
JP3190000004,OBAYASHI,Industrials,Construction & Mats,Construction & Mats,Construction,JAPAN,"20,327,312,000","11,810,267,730","13,087,660,653"
AT0000743059,OMV,Energy,Energy,"Oil, Gas and Coal",Integrated Oil & Gas,AUSTRIA,"49,248,670,000","26,702,425,190","26,533,393,343"
JP3183200009,JAPAN EXCHANGE GROUP,Financials,Financial Services,Inv. Banking & Broker,Investment Services,JAPAN,"571,020,176,000",NA,"281,710,129"
SG1V61937297,SINGAPORE AIRLINES,Consumer Discretion,Travel & Leisure,Travel & Leisure,Airlines,SINGAPORE,"32,056,192,000","19,815,709,220","8,295,767,174"
SE0000114837,TRELLEBORG B,Industrials,Ind. Goods & Services,Ind. Engineering,Machinery: Industrial,SWEDEN,"5,427,148,000","9,937,239,190","2,077,268,541"
DK0060738599,DEMANT,Health Care,Health Care,Medical Eq. Services,Medical Equipment,DENMARK,"4,424,287,000","9,925,065,590","1,442,276,239"
NL0000395903,WOLTERS KLUWER,Industrials,Ind. Goods & Services,Ind. Support Services,Prof.Business Support,NETHERLANDS,"9,777,043,000","31,464,074,140","3,877,946,638"
GB00B1WY2338,SMITHS GROUP,Industrials,Ind. Goods & Services,General Industrials,Divers. Industrials,UNITED KINGDOM,"5,178,269,000","10,338,397,440","2,765,598,257"
GB00B1YW4409,3I GROUP,Financials,Financial Services,Closed End Invest.,Closed End Invest.,UNITED KINGDOM,"33,631,782,000",NA,"-5,110,079,000"
NO0010310956,SALMAR,Consumer Staples,"Food, Bev. and Tobacc",Food Producers,"Farming, Fishing",NORWAY,"4,792,771,000","9,447,462,120","1,761,652,147"
PLPKO0000016,PKO BANK,Financials,Banks,Banks,Banks,POLAND,"126,413,913,000",NA,"5,812,143,044"
GB0006776081,PEARSON,Consumer Discretion,Media,Media,Publishing,UNITED KINGDOM,"8,566,416,000","9,744,244,480","1,905,083,429"
CA6837151068,OPEN TEXT (NAS),Technology,Technology,Software & Comp. Svs.,Software,CANADA,"12,660,972,000","14,140,530,000","2,220,226,273"
AU000000QBE9,QBE INSURANCE GROUP,Financials,Insurance,Non-life Insurance,Prop. & Casualty Ins.,AUSTRALIA,"43,260,051,000",NA,"13,804,217,490"
US7043261079,PAYCHEX,Industrials,Ind. Goods & Services,Ind. Support Services,Prof.Business Support,UNITED STATES,"16,564,100,000","45,780,060,000","3,527,100,852"
US6937181088,PACCAR,Industrials,Ind. Goods & Services,Ind. Transportation,"Comm. Vehicles, Parts",UNITED STATES,"43,418,900,000","54,902,460,000","19,722,286,809"
US8085131055,CHARLES SCHWAB,Financials,Financial Services,Inv. Banking & Broker,Investment Services,UNITED STATES,"479,843,000,000",NA,"6,671,410,795"
INE134E01011,POWER FINANCE,Financials,Financial Services,Finance & Credit Svs,Consumer Lending,INDIA,"137,104,779,000",NA,"3,816,001,550"
IT0003828271,RECORDATI INDUA.CHIMICA,Health Care,Health Care,Pharm. & Biotech,Pharmaceuticals,ITALY,"5,218,766,000","14,501,815,750","1,331,843,137"
US74144T1088,T ROWE PRICE GROUP,Financials,Financial Services,Inv. Banking & Broker,"Asset Mngr, Custodian",UNITED STATES,"13,194,000,000",NA,"1,820,236,148"
US6935061076,PPG INDUSTRIES,Industrials,Ind. Goods & Services,General Industrials,Paints & Coatings,UNITED STATES,"19,130,000,000","26,899,230,000","11,359,731,951"
US6934751057,PNC FINL.SVS.GP.,Financials,Banks,Banks,Banks,UNITED STATES,"560,038,000,000",NA,"20,004,086,001"
